"match_id","team_id","home_away","goals","xG"
81,82,"a",0,0.675723277032375
81,89,"h",0,0.627538770437241
82,71,"a",1,0.786229819059373
82,73,"h",0,0.876105513423681
83,72,"h",2,0.604225588031113
83,90,"a",2,0.558456405997276
84,75,"h",4,2.56803004816175
84,77,"a",2,1.46083428990096
85,78,"a",3,2.10975007154048
85,79,"h",1,1.13075449503958
86,80,"h",1,0.651187501847743
86,84,"a",2,3.12038981169462
87,74,"a",2,1.25290011242032
87,86,"h",2,1.54613570310175
88,81,"a",2,0.535961193963886
88,83,"h",0,1.3341025095433
89,85,"h",0,0.388441704213619
89,87,"a",1,0.329873396083713
90,76,"h",0,0.435238100588321
90,88,"a",3,1.98255258612335
91,71,"h",0,0.219118200242519
91,89,"a",1,0.660403881222009
92,72,"a",3,1.50111722107977
92,74,"h",0,1.0642455983907
93,77,"h",1,0.329128299839795
93,79,"a",3,1.73093041032553
94,84,"h",2,1.97423564642668
94,86,"a",0,0.11310850083828
95,82,"h",2,1.707374304533
95,85,"a",2,2.81251629628242
96,76,"a",0,0.684035997837781
96,90,"h",0,0.760847192257643
97,75,"a",2,2.08359837345779
97,81,"h",1,0.513490699231624
98,78,"h",1,0.991770498454571
98,83,"a",1,2.28459354769439
99,80,"a",0,0.48674849793315
99,88,"h",3,2.19642853550613
100,73,"a",0,0.460804598405957
100,87,"h",1,2.19556104578078
101,86,"a",0,0.438401311635971
101,89,"h",0,1.26549111865461
102,79,"h",1,3.1488750865683
102,85,"a",1,0.698227602988481
103,77,"h",1,0.571046195924283
103,84,"a",1,1.56892025470734
104,71,"a",0,0.765278296545148
104,78,"h",2,1.23806779459119
105,75,"h",1,0.837880106642842
105,82,"a",1,1.89437090046704
106,73,"a",4,2.85539758205414
106,81,"h",3,1.522450693883
107,76,"h",2,1.42621720582247
107,80,"a",3,2.06951153278351
108,72,"h",0,0.579337505623697
108,88,"a",2,1.58718548715115
109,74,"a",0,0.683589700609445
109,90,"h",0,1.27364696934819
110,83,"h",0,1.84160872269422
110,87,"a",0,1.29206129163504
111,83,"a",0,2.36002456769347
111,86,"h",0,0.0319693982601166
112,76,"a",1,0.88119398523122
112,85,"h",0,1.21848891489208
113,71,"h",2,2.27405561693013
113,77,"a",2,0.368847504258155
